# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
1241.00000000   2.04708065   1.94829380   0.00002461   0.44945989
1251.00000000   2.04683587   1.94820417   0.00002432   0.44939405
1261.00000000   2.04659399   1.94811558   0.00002403   0.44932898
1271.00000000   2.04635496   1.94802801   0.00002375   0.44926466
1281.00000000   2.04611873   1.94794145   0.00002347   0.44920107
1291.00000000   2.04588523   1.94785588   0.00002320   0.44913821
1301.00000000   2.04565442   1.94777127   0.00002294   0.44907606
1311.00000000   2.04542625   1.94768761   0.00002267   0.44901460
1321.00000000   2.04520066   1.94760488   0.00002242   0.44895382
1331.00000000   2.04497760   1.94752306   0.00002217   0.44889372
1341.00000000   2.04475704   1.94744214   0.00002192   0.44883427
1351.00000000   2.04453892   1.94736210   0.00002168   0.44877547
1361.00000000   2.04432320   1.94728292   0.00002144   0.44871731
1371.00000000   2.04410984   1.94720459   0.00002121   0.44865976
1381.00000000   2.04389878   1.94712710   0.00002098   0.44860283
1391.00000000   2.04369000   1.94705043   0.00002075   0.44854650
1401.00000000   2.04348345   1.94697455   0.00002053   0.44849076
1411.00000000   2.04327909   1.94689948   0.00002032   0.44843560
1421.00000000   2.04307688   1.94682517   0.00002010   0.44838101
1431.00000000   2.04287679   1.94675163   0.00001989   0.44832698
1441.00000000   2.04267877   1.94667884   0.00001969   0.44827351
1451.00000000   2.04248280   1.94660679   0.00001949   0.44822057
1461.00000000   2.04228884   1.94653547   0.00001929   0.44816816
1471.00000000   2.04209685   1.94646485   0.00001909   0.44811628
1481.00000000   2.04190680   1.94639494   0.00001890   0.44806492
1491.00000000   2.04171866   1.94632572   0.00001871   0.44801406
1501.00000000   2.04153239   1.94625718   0.00001852   0.44796369
1511.00000000   2.04134797   1.94618930   0.00001834   0.44791382
1521.00000000   2.04116536   1.94612208   0.00001816   0.44786443
1531.00000000   2.04098454   1.94605551   0.00001798   0.44781551
1541.00000000   2.04080548   1.94598957   0.00001781   0.44776706
1551.00000000   2.04062814   1.94592426   0.00001764   0.44771907
1561.00000000   2.04045251   1.94585956   0.00001747   0.44767154
1571.00000000   2.04027855   1.94579547   0.00001731   0.44762444
1581.00000000   2.04010623   1.94573198   0.00001714   0.44757779
1591.00000000   2.03993554   1.94566907   0.00001698   0.44753156
1601.00000000   2.03976644   1.94560674   0.00001682   0.44748576
1611.00000000   2.03959891   1.94554498   0.00001667   0.44744038
1621.00000000   2.03943293   1.94548378   0.00001651   0.44739541
1631.00000000   2.03926847   1.94542314   0.00001636   0.44735084
1641.00000000   2.03910552   1.94536303   0.00001621   0.44730668
1651.00000000   2.03894404   1.94530347   0.00001607   0.44726291
1661.00000000   2.03878401   1.94524443   0.00001592   0.44721952
1671.00000000   2.03862542   1.94518591   0.00001578   0.44717652
1681.00000000   2.03846824   1.94512791   0.00001564   0.44713389
1691.00000000   2.03831246   1.94507041   0.00001550   0.44709164
1701.00000000   2.03815804   1.94501340   0.00001537   0.44704975
1711.00000000   2.03800497   1.94495689   0.00001523   0.44700822
1721.00000000   2.03785324   1.94490086   0.00001510   0.44696704
1731.00000000   2.03770282   1.94484531   0.00001497   0.44692622
1741.00000000   2.03755369   1.94479023   0.00001484   0.44688574
1751.00000000   2.03740583   1.94473561   0.00001472   0.44684560
1761.00000000   2.03725924   1.94468145   0.00001459   0.44680580
1771.00000000   2.03711388   1.94462774   0.00001447   0.44676632
1781.00000000   2.03696974   1.94457447   0.00001435   0.44672718
1791.00000000   2.03682681   1.94452164   0.00001423   0.44668835
1801.00000000   2.03668507   1.94446925   0.00001411   0.44664984
1811.00000000   2.03654449   1.94441728   0.00001399   0.44661165
1821.00000000   2.03640508   1.94436573   0.00001388   0.44657376
1831.00000000   2.03626680   1.94431459   0.00001377   0.44653618
1841.00000000   2.03612965   1.94426387   0.00001365   0.44649890
1851.00000000   2.03599360   1.94421355   0.00001354   0.44646192
1861.00000000   2.03585865   1.94416362   0.00001344   0.44642522
1871.00000000   2.03572478   1.94411409   0.00001333   0.44638882
1881.00000000   2.03559198   1.94406495   0.00001322   0.44635270
1891.00000000   2.03546023   1.94401619   0.00001312   0.44631686
1901.00000000   2.03532951   1.94396781   0.00001302   0.44628131
1911.00000000   2.03519982   1.94391980   0.00001291   0.44624602
1921.00000000   2.03507114   1.94387216   0.00001281   0.44621101
1931.00000000   2.03494345   1.94382489   0.00001271   0.44617626
1941.00000000   2.03481676   1.94377797   0.00001262   0.44614177
1951.00000000   2.03469103   1.94373141   0.00001252   0.44610755
1961.00000000   2.03456626   1.94368520   0.00001242   0.44607358
1971.00000000   2.03444244   1.94363933   0.00001233   0.44603987
1981.00000000   2.03431956   1.94359380   0.00001224   0.44600641
