# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
18.30000000   1.21131158   2.41844329   0.01868521   0.38083643
18.40000000   1.20944222   2.41717959   0.01870387   0.37987943
18.50000000   1.20757100   2.41590397   0.01872231   0.37891851
18.60000000   1.20569795   2.41461634   0.01874052   0.37795366
18.70000000   1.20382308   2.41331664   0.01875849   0.37698487
18.80000000   1.20194644   2.41200482   0.01877623   0.37601213
18.90000000   1.20006802   2.41068080   0.01879374   0.37503543
19.00000000   1.19818787   2.40934452   0.01881100   0.37405475
19.10000000   1.19630600   2.40799591   0.01882801   0.37307010
19.20000000   1.19442244   2.40663491   0.01884478   0.37208146
19.30000000   1.19253722   2.40526145   0.01886129   0.37108881
19.40000000   1.19065036   2.40387547   0.01887754   0.37009216
19.50000000   1.18876188   2.40247690   0.01889353   0.36909148
19.60000000   1.18687182   2.40106569   0.01890926   0.36808677
19.70000000   1.18498020   2.39964176   0.01892472   0.36707803
19.80000000   1.18308704   2.39820505   0.01893991   0.36606524
19.90000000   1.18119237   2.39675550   0.01895482   0.36504839
20.00000000   1.17929623   2.39529305   0.01896945   0.36402748
20.10000000   1.17739864   2.39381764   0.01898380   0.36300249
20.20000000   1.17549962   2.39232919   0.01899787   0.36197342
20.30000000   1.17359921   2.39082766   0.01901164   0.36094027
20.40000000   1.17169744   2.38931297   0.01902511   0.35990301
20.50000000   1.16979433   2.38778507   0.01903829   0.35886166
20.60000000   1.16788992   2.38624390   0.01905117   0.35781619
20.70000000   1.16598424   2.38468940   0.01906373   0.35676661
20.80000000   1.16407731   2.38312150   0.01907599   0.35571290
20.90000000   1.16216917   2.38154015   0.01908794   0.35465506
21.00000000   1.16025985   2.37994529   0.01909956   0.35359308
21.10000000   1.15834938   2.37833686   0.01911087   0.35252696
21.20000000   1.15643780   2.37671481   0.01912184   0.35145669
21.30000000   1.15452514   2.37507906   0.01913249   0.35038227
21.40000000   1.15261142   2.37342958   0.01914281   0.34930369
21.50000000   1.15069669   2.37176630   0.01915278   0.34822094
21.60000000   1.14878097   2.37008917   0.01916242   0.34713403
21.70000000   1.14686431   2.36839814   0.01917171   0.34604295
21.80000000   1.14494673   2.36669314   0.01918065   0.34494769
21.90000000   1.14302828   2.36497412   0.01918924   0.34384825
22.00000000   1.14110898   2.36324104   0.01919746   0.34274464
22.10000000   1.13918888   2.36149384   0.01920533   0.34163683
22.20000000   1.13726800   2.35973247   0.01921284   0.34052484
22.30000000   1.13534640   2.35795688   0.01921997   0.33940866
22.40000000   1.13342409   2.35616701   0.01922673   0.33828829
22.50000000   1.13150113   2.35436283   0.01923311   0.33716372
22.60000000   1.12957754   2.35254428   0.01923912   0.33603496
22.70000000   1.12765338   2.35071131   0.01924474   0.33490200
22.80000000   1.12572866   2.34886387   0.01924997   0.33376485
22.90000000   1.12380345   2.34700193   0.01925480   0.33262351
23.00000000   1.12187776   2.34512544   0.01925925   0.33147797
23.10000000   1.11995165   2.34323435   0.01926329   0.33032824
23.20000000   1.11802516   2.34132862   0.01926692   0.32917431
23.30000000   1.11609832   2.33940821   0.01927015   0.32801619
23.40000000   1.11417117   2.33747308   0.01927297   0.32685388
23.50000000   1.11224376   2.33552319   0.01927537   0.32568738
23.60000000   1.11031613   2.33355849   0.01927736   0.32451670
23.70000000   1.10838832   2.33157896   0.01927892   0.32334184
23.80000000   1.10646038   2.32958455   0.01928005   0.32216280
23.90000000   1.10453234   2.32757523   0.01928076   0.32097959
24.00000000   1.10260424   2.32555097   0.01928103   0.31979221
24.10000000   1.10067615   2.32351172   0.01928086   0.31860066
24.20000000   1.09874808   2.32145747   0.01928025   0.31740495
24.30000000   1.09682010   2.31938818   0.01927920   0.31620509
24.40000000   1.09489225   2.31730381   0.01927770   0.31500109
24.50000000   1.09296456   2.31520435   0.01927575   0.31379294
24.60000000   1.09103709   2.31312815   0.01927462   0.31258066
