# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
1481.00000000   2.65838681   2.18262078   0.00000154   0.66429265
1491.00000000   2.65837149   2.18261769   0.00000152   0.66429071
1501.00000000   2.65835633   2.18261463   0.00000151   0.66428880
1511.00000000   2.65834132   2.18261160   0.00000149   0.66428690
1521.00000000   2.65832646   2.18260860   0.00000148   0.66428503
1531.00000000   2.65831174   2.18260563   0.00000146   0.66428317
1541.00000000   2.65829717   2.18260269   0.00000145   0.66428133
1551.00000000   2.65828274   2.18259977   0.00000144   0.66427950
1561.00000000   2.65826845   2.18259689   0.00000142   0.66427770
1571.00000000   2.65825429   2.18259403   0.00000141   0.66427591
1581.00000000   2.65824027   2.18259120   0.00000139   0.66427414
1591.00000000   2.65822638   2.18258839   0.00000138   0.66427239
1601.00000000   2.65821262   2.18258561   0.00000137   0.66427065
1611.00000000   2.65819899   2.18258286   0.00000136   0.66426893
1621.00000000   2.65818548   2.18258014   0.00000134   0.66426722
1631.00000000   2.65817210   2.18257743   0.00000133   0.66426553
1641.00000000   2.65815885   2.18257476   0.00000132   0.66426386
1651.00000000   2.65814571   2.18257210   0.00000131   0.66426220
1661.00000000   2.65813269   2.18256948   0.00000130   0.66426055
1671.00000000   2.65811979   2.18256687   0.00000128   0.66425892
1681.00000000   2.65810700   2.18256429   0.00000127   0.66425731
1691.00000000   2.65809433   2.18256173   0.00000126   0.66425571
1701.00000000   2.65808177   2.18255919   0.00000125   0.66425412
1711.00000000   2.65806932   2.18255668   0.00000124   0.66425255
1721.00000000   2.65805698   2.18255419   0.00000123   0.66425099
1731.00000000   2.65804474   2.18255172   0.00000122   0.66424944
1741.00000000   2.65803262   2.18254927   0.00000121   0.66424791
1751.00000000   2.65802059   2.18254684   0.00000120   0.66424639
1761.00000000   2.65800867   2.18254443   0.00000119   0.66424489
1771.00000000   2.65799685   2.18254204   0.00000118   0.66424339
1781.00000000   2.65798513   2.18253968   0.00000117   0.66424191
1791.00000000   2.65797350   2.18253733   0.00000116   0.66424045
1801.00000000   2.65796198   2.18253500   0.00000115   0.66423899
1811.00000000   2.65795054   2.18253269   0.00000114   0.66423755
1821.00000000   2.65793921   2.18253040   0.00000113   0.66423611
1831.00000000   2.65792796   2.18252813   0.00000112   0.66423469
1841.00000000   2.65791681   2.18252588   0.00000111   0.66423328
1851.00000000   2.65790575   2.18252365   0.00000110   0.66423189
1861.00000000   2.65789478   2.18252143   0.00000109   0.66423050
1871.00000000   2.65788389   2.18251923   0.00000108   0.66422913
1881.00000000   2.65787310   2.18251705   0.00000107   0.66422776
1891.00000000   2.65786239   2.18251489   0.00000107   0.66422641
1901.00000000   2.65785176   2.18251274   0.00000106   0.66422507
1911.00000000   2.65784122   2.18251062   0.00000105   0.66422373
1921.00000000   2.65783075   2.18250850   0.00000104   0.66422241
1931.00000000   2.65782037   2.18250641   0.00000103   0.66422110
1941.00000000   2.65781008   2.18250433   0.00000103   0.66421980
1951.00000000   2.65779986   2.18250226   0.00000102   0.66421851
1961.00000000   2.65778971   2.18250021   0.00000101   0.66421723
1971.00000000   2.65777965   2.18249818   0.00000100   0.66421596
1981.00000000   2.65776966   2.18249616   0.00000099   0.66421469
1991.00000000   2.65775975   2.18249416   0.00000099   0.66421344
2001.00000000   2.65774991   2.18249217   0.00000098   0.66421220
2011.00000000   2.65774014   2.18249020   0.00000097   0.66421096
2021.00000000   2.65773045   2.18248825   0.00000097   0.66420974
2031.00000000   2.65772083   2.18248630   0.00000096   0.66420852
2041.00000000   2.65771128   2.18248437   0.00000095   0.66420732
2051.00000000   2.65770180   2.18248246   0.00000094   0.66420612
2061.00000000   2.65769239   2.18248056   0.00000094   0.66420493
2071.00000000   2.65768305   2.18247867   0.00000093   0.66420375
2081.00000000   2.65767377   2.18247680   0.00000092   0.66420258
2091.00000000   2.65766456   2.18247494   0.00000092   0.66420141
2101.00000000   2.65765542   2.18247309   0.00000091   0.66420026
2111.00000000   2.65764634   2.18247126   0.00000090   0.66419911
2121.00000000   2.65763733   2.18246944   0.00000090   0.66419797
2131.00000000   2.65762838   2.18246763   0.00000089   0.66419684
2141.00000000   2.65761949   2.18246583   0.00000089   0.66419572
2151.00000000   2.65761066   2.18246405   0.00000088   0.66419460
2161.00000000   2.65760190   2.18246228   0.00000087   0.66419350
2171.00000000   2.65759320   2.18246052   0.00000087   0.66419240
2181.00000000   2.65758455   2.18245878   0.00000086   0.66419131
2191.00000000   2.65757597   2.18245704   0.00000086   0.66419022
2201.00000000   2.65756744   2.18245532   0.00000085   0.66418914
2211.00000000   2.65755897   2.18245361   0.00000084   0.66418807
2221.00000000   2.65755056   2.18245191   0.00000084   0.66418701
2231.00000000   2.65754221   2.18245022   0.00000083   0.66418595
2241.00000000   2.65753391   2.18244855   0.00000083   0.66418491
